Loop/Rec Name,Field Name,Type,Dec,Format,Start,End,min occ,Length,max occ,Occ,Default Value,Comments,Source/Value,Comments
,D32,AN,,,1,16,M,16..16,M,M,if POC_02 exists,use xref CADB_MSSI_ELE670; input:POC_02:SENDER_ITEM output: TEXT1,same mapping,same notes
,D33,AN,,,17,26,M,10..10,M,M,POC_03 if POC_02 exists,,same mapping,
,D34,AN,,,27,36,M,10..10,M,M,POC_04 if POC_02 exists,,same mapping,
,D35,AN,,,37,43,M,7..7,M,M,"STRCAT(""$"",POC_06) if POC_02 exists",add 0 if value is .xx sample: input .66 output $0.66,same mapping,same notes
,D36,AN,,,44,63,M,20..20,M,M,POC_09  if POC_02 exists,,same mapping,See Change Control 3/12/13
,D37,AN,,,64,76,M,13..13,M,M,POC_11 if POC_02 exists,,"POC_11 IF (ISA_06 == ""201613668""  || ISA_06 == ""TST1REINHARTFOO"" || ISA_06 == ""REINHARTFOODSER"") 
ELSE POC_13 IF POC_02 exists","See Change Control 3/12/13, 4/30, 6/21/17"
,D38,AN,,,77,91,M,15..15,M,M,POC_13 if POC_02 exists,,"POC_13 IF (ISA_06 == ""201613668"" || ISA_06 == ""TST1REINHARTFOO"" || ISA_06 == ""REINHARTFOODSER"" ) 
ELSE POC_11 IF POC_02 exists","See Change Control 3/12/13, 4/30, 6/21/17"
,D39,AN,,,92,98,M,20..20,M,M,,,POC_01 IFPOC_02 exists,See Change Control 3/12/13
Filler5_RECORD,,RC,,,,,1 .. 1,,1 .. 1,1 .. 1,,,,
,D40,AN,,,1,80,M,80..80,M,M,"""--------------------------------------------------------------------------------"" if POC_02 exists",,same mapping,
TTL_RECORD,,RC,,,,,1 .. 1,,1 .. 1,1 .. 1,,,,
,D42,AN,,,1,70,M,70..70,M,M,"STRCAT(""Number of Items Changed:    "",CTT_01) if CTT_01 exists",,same mapping,
