Loop/Rec Name,Field Name,Description,Type,Dec,Format,Start,End,Length,Occ,Mapped,Default Value,Correlation,Comments,Spec Logic
,K101,,AN,,,6,35,30,O,,,,,
,K1_FLR2,,AN,,,36,36,1,O,,,,,
,K102,,AN,,,37,66,30,O,,,,,
,K1_FILLER,,AN,,,67,1090,1024,O,,,,,
N1_GRP,,,LS,,,,,,0 .. *,,,,,
N1,,,RC,,,,,,0 .. 1,,,,,
,N1_RecordID,,RT,,,1,4,4,M,,"""N1""","""N1""",,
,N1_FLR1,,AN,,,5,5,1,O,,,,,
,N101,,AN,,,6,8,3,O,,,,,
,N1_FLR2,,AN,,,9,9,1,O,,,,,
,N102,,AN,,,10,69,60,O,,,,,
,N1_FLR3,,AN,,,70,70,1,O,,,,,
,N103,,AN,,,71,72,2,O,,,,,
,N1_FLR4,,AN,,,73,73,1,O,,,,,
,N104,,AN,,,74,153,80,O,,,,,
,N1_FLR5,,AN,,,154,154,1,O,,,,,
,N105,,AN,,,155,156,2,O,,,,,
,N1_FLR6,,AN,,,157,157,1,O,,,,,
,N106,,AN,,,158,160,3,O,,,,,
,N1_FILLER,,AN,,,161,1184,1024,O,,,,,
N2,,,RC,,,,,,0 .. 1,,,,,
,N2_RecordID,,AN,,,1,4,4,M,,"""N2""","""N2""",,
,N2_FLR1,,AN,,,5,5,1,O,,,,,
,N201,,AN,,,6,65,60,O,,,,,
,N2_FLR2,,AN,,,66,66,1,O,,,,,
,N202,,AN,,,67,126,60,O,,,,,
,N2_FILLER,,AN,,,127,1150,1024,O,,,,,
N3,,,RC,,,,,,0 .. 1,,,,,
,N3_RecordID,,RT,,,1,4,4,M,,"""N3""","""N3""",,
,N3_FLR1,,AN,,,5,5,1,O,,,,,
,N301,,AN,,,6,60,55,O,,,,,
,N3_FLR2,,AN,,,61,61,1,O,,,,,
,N302,,AN,,,62,116,55,O,,,,,
,N3_FILLER,,AN,,,117,1140,1024,O,,,,,
N4,,,RC,,,,,,0 .. 1,,,,,
,N4_RecordID,,RT,,,1,4,4,M,,"""N4""","""N4""",,
,N4_FLR1,,AN,,,5,5,1,O,,,,,
,N401,,AN,,,6,35,30,O,,,,,
,N4_FLR2,,AN,,,36,36,1,O,,,,,
,N402,,AN,,,37,38,2,O,,,,,
,N4_FLR3,,AN,,,39,39,1,O,,,,,
,N403,,AN,,,40,54,15,O,,,,,
,N4_FLR4,,AN,,,55,55,1,O,,,,,
,N404,,AN,,,56,58,3,O,,,,,
,N4_FLR5,,AN,,,59,59,1,O,,,,,
,N405,,AN,,,60,61,2,O,,,,,
,N4_FLR6,,AN,,,62,62,1,O,,,,,
,N406,,AN,,,63,92,30,O,,,,,
,N4_FLR7,,AN,,,93,93,1,O,,,,,
,N407,,AN,,,94,96,3,O,,,,,
,N4_FILLER,,AN,,,97,1120,1024,O,,,,,
END_N1_GRP,,,LE,,,,,,,,,,,
N7,,,RC,,,,,,0 .. 1,,,,,
,N7_RecordID,,AN,,,1,4,4,M,,"""N7""","""N7""",,
,N7_FLR1,,AN,,,5,5,1,O,,,,,
,N701,,AN,,,6,9,4,O,,,,,
,N7_FLR2,,AN,,,10,10,1,O,,,,,
,N702,,AN,,,11,25,15,O,,,,,
,N7_FLR3,,AN,,,26,26,1,O,,,,,
,N703,,N,,R,27,36,10,O,,,,,
,N7_FLR4,,AN,,,37,37,1,O,,,,,
,N704,,AN,,,38,39,2,O,,,,,
,N7_FLR5,,AN,,,40,40,1,O,,,,,
,N705,,N,,N0,41,48,8,O,,,,,
,N7_FLR6,,AN,,,49,49,1,O,,,,,
,N706,,N,,N0,50,55,6,O,,,,,
,N7_FLR7,,AN,,,56,56,1,O,,,,,
,N707,,N,,N0,57,62,6,O,,,,,
,N7_FLR8,,AN,,,63,63,1,O,,,,,
,N708,,N,,R,64,71,8,O,,,,,
,N7_FLR9,,AN,,,72,72,1,O,,,,,
,N709,,AN,,,73,73,1,O,,,,,
,N7_FLR10,,AN,,,74,74,1,O,,,,,
,N710,,AN,,,75,75,1,O,,,,,
,N7_FLR11,,AN,,,76,76,1,O,,,,,
,N711,,AN,,,77,78,2,O,,,,,
,N7_FLR12,,AN,,,79,79,1,O,,,,,
,N712,,AN,,,80,83,4,O,,,,,
,N7_FLR13,,AN,,,84,84,1,O,,,,,
,N713,,AN,,,85,90,6,O,,,,,
,N7_FLR14,,AN,,,91,91,1,O,,,,,
,N714,,AN,,,92,94,3,O,,,,,
,N7_FLR15,,AN,,,95,95,1,O,,,,,
,N715,,N,,N0,96,100,5,O,,,,,
,N7_FLR16,,AN,,,101,101,1,O,,,,,
,N716,,AN,,,102,102,1,O,,,,,
,N7_FLR17,,AN,,,103,103,1,O,,,,,
,N717,,AN,,,104,104,1,O,,,,,
,N7_FLR18,,AN,,,105,105,1,O,,,,,
,N718,,N,,N0,106,106,1,O,,,,,
,N7_FLR19,,AN,,,107,107,1,O,,,,,
,N719,,AN,,,108,109,2,O,,,,,
,N7_FLR20,,AN,,,110,110,1,O,,,,,
,N720,,N,,R,111,118,8,O,,,,,
,N7_FLR21,,AN,,,119,119,1,O,,,,,
,N721,,N,,R,120,127,8,O,,,,,
,N7_FLR22,,AN,,,128,128,1,O,,,,,
,N722,,AN,,,129,132,4,O,,,,,
,N7_FLR23,,AN,,,133,133,1,O,,,,,
,N723,,AN,,,134,137,4,O,,,,,
,N7_FLR24,,AN,,,138,138,1,O,,,,,
,N724,,AN,,,139,142,4,O,,,,,
,N7_FILLER,,AN,,,143,1166,1024,O,,,,,
SPO,,,RC,,,,,,0..999999,,,,,
,SPO_RecordID,,AN,,,1,4,4,M,,"""SPO""","""SPO""",,
,SPO_FLR1,,AN,,,5,5,1,O,,,,,
,SPO01,,AN,,,6,27,22,O,,,,,
,SPO_FLR2,,AN,,,28,28,1,O,,,,,
,SPO02,0127-Reference Identification,AN,,,29,58,30,O,,,,,
,SPO_FLR3,,AN,,,59,59,1,O,,,,,
,SPO03,0355-Unit or Basis for Measurement Code,AN,,,60,61,2,O,,,,,
,SPO_FLR4,,AN,,,62,62,1,O,,,,,
,SPO04,0380-Quantity,N,,R,63,77,15,O,,,,,
,SPO_FLR5,,AN,,,78,78,1,O,,,,,
,SPO05,0188-Weight Unit Code,AN,,,79,79,1,O,,,,,
,SPO_FLR6,,AN,,,80,80,1,O,,,,,
,SPO06,0081-Weight,N,,R,81,90,10,O,,,,,
,SPO_FLR7,,AN,,,91,91,1,O,,,,,
,SPO07,0647-Application Error Condition Code,AN,,,92,94,3,O,,,,,
,SPO_FLR8,,AN,,,95,95,1,O,,,,,
,SPO08,0127-Reference Identification,AN,,,96,125,30,O,,,,,
,SPO_FILLER,,AN,,,126,1063,1024,O,,,,,
N9S,,,RC,,,,,,0 .. 1,,,,,
,N9S_RecID,,RT,,,1,4,4,M,,"""N9S""","""N9S""",,
,N9S_FLR1,,AN,,,5,5,1,O,,,,,
,N9S01,,AN,,,6,8,3,O,,,,,
,N9S_FLR2,,AN,,,9,9,1,O,,,,,
,N9S02,,AN,,,10,39,30,O,,,,,
,N9S_FILLER,,AN,,,40,1063,1024,O,,,,,
M7,,,RC,,,,,,0 .. 2,,,,,
,M7_RecID,,RT,,,1,4,4,M,,"""M7""","""M7""",,
,M7_FLR1,,AN,,,5,5,1,O,,,,,
,M701,,AN,,,6,20,15,O,,,,,
,M7_FLR2,,AN,,,21,21,1,O,,,,,
,M702,,AN,,,22,36,15,O,,,,,
,M7_FLR3,,AN,,,37,37,1,O,,,,,
,M703,,AN,,,38,52,15,O,,,,,
,M7_FLR4,,AN,,,53,53,1,O,,,,,
,M704,,AN,,,54,68,15,O,,,,,
,M7_FILLER,,AN,,,69,1092,1024,O,,,,,
S5_GRP,,,LS,,,,,,0 .. *,,,,,
S5,,,RC,,,,,,0 .. 1,,,,,
,RecordID,,RT,,,1,4,4,M,,"""S5""","""S5""",,
,S5_FLR1,,AN,,,5,5,1,O,,,,,
,S501,,N,,N0,6,8,3,O,,,,,
,S5_FLR2,,AN,,,9,9,1,O,,,,,
,S502,,AN,,,10,11,2,O,,,,,
,S5_FLR3,,AN,,,12,12,1,O,,,,,
,S503,,N,,R,13,22,10,O,,,,,
,S5_FLR4,,AN,,,23,23,1,O,,,,,
,S504,,AN,,,24,24,1,O,,,,,
